"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.12.2023","2.070,52","2.040,30","2.075,40","2.033,97","","1,71%"
"01.11.2023","2.035,75","1.983,85","2.052,01","1.923,45","","2,68%"
"01.10.2023","1.982,70","1.848,13","2.009,48","1.810,10","","7,27%"
"01.09.2023","1.848,31","1.940,19","1.953,44","1.846,34","","-4,71%"
"01.08.2023","1.939,74","1.965,10","1.966,24","1.884,35","","-1,24%"
"01.07.2023","1.964,19","1.919,40","1.987,59","1.902,68","","2,32%"
"01.06.2023","1.919,57","1.962,80","1.983,52","1.893,01","","-2,18%"
"01.05.2023","1.962,30","1.991,34","2.073,29","1.932,08","","-1,37%"
"01.04.2023","1.989,65","1.970,84","2.048,84","1.949,82","","1,11%"
"01.03.2023","1.967,90","1.827,24","2.010,19","1.809,40","","7,70%"
"01.02.2023","1.827,15","1.927,92","1.959,77","1.804,65","","-5,22%"
"01.01.2023","1.927,88","1.823,85","1.949,27","1.823,85","","5,67%"
"01.12.2022","1.824,40","1.768,54","1.833,39","1.765,32","","3,16%"
"01.11.2022","1.768,45","1.633,40","1.786,68","1.616,18","","8,29%"
"01.10.2022","1.633,12","1.661,30","1.729,73","1.617,21","","-1,60%"
"01.09.2022","1.659,67","1.711,09","1.735,37","1.614,35","","-2,98%"
"01.08.2022","1.710,70","1.765,05","1.807,90","1.709,10","","-3,09%"
"01.07.2022","1.765,22","1.807,31","1.814,36","1.680,78","","-2,31%"
"01.06.2022","1.806,89","1.837,37","1.877,38","1.802,20","","-1,64%"
"01.05.2022","1.837,09","1.896,09","1.910,03","1.786,95","","-3,13%"
"01.04.2022","1.896,40","1.937,51","1.998,60","1.872,19","","-2,11%"
"01.03.2022","1.937,23","1.908,19","2.070,29","1.890,03","","1,54%"
"01.02.2022","1.907,90","1.796,72","1.974,48","1.788,39","","6,20%"
"01.01.2022","1.796,47","1.830,14","1.853,98","1.779,88","","-1,75%"
"01.12.2021","1.828,39","1.774,15","1.830,58","1.753,84","","3,08%"