"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","25.2487","22.8365","25.3695","21.8825","","10.26%"
"10/01/2023","22.9000","22.1827","23.7100","20.6802","","3.34%"
"09/01/2023","22.1600","24.4023","24.8302","22.1058","","-9.31%"
"08/01/2023","24.4350","24.7480","25.0243","22.2157","","-1.35%"
"07/01/2023","24.7700","22.7785","25.2871","22.5220","","8.87%"
"06/01/2023","22.7521","23.5455","24.5374","22.0993","","-3.09%"
"05/01/2023","23.4775","25.1623","26.1458","22.6722","","-6.23%"
"04/01/2023","25.0363","24.1300","26.1072","23.5631","","4.00%"
"03/01/2023","24.0730","20.9146","24.1750","19.8923","","15.11%"
"02/01/2023","20.9124","23.7250","24.6472","20.4142","","-11.76%"
"01/01/2023","23.6994","23.9700","24.5750","22.7500","","-1.11%"
"12/01/2022","23.9652","22.1982","24.3350","22.0146","","7.98%"
"11/01/2022","22.1948","19.1655","22.2850","18.8200","","15.96%"
"10/01/2022","19.1404","19.0200","21.2550","18.0800","","0.74%"
"09/01/2022","19.0000","17.9750","20.0271","17.5548","","5.73%"
"08/01/2022","17.9700","20.3230","20.8950","17.9200","","-11.56%"
"07/01/2022","20.3200","20.2724","20.3750","18.1315","","0.36%"
"06/01/2022","20.2465","21.5635","22.5350","20.2000","","-5.98%"
"05/01/2022","21.5350","22.7700","23.2950","20.4597","","-5.30%"
"04/01/2022","22.7400","24.8050","26.2350","22.6800","","-8.20%"
"03/01/2022","24.7721","24.4600","26.9600","23.9744","","1.44%"
"02/01/2022","24.4202","22.4589","25.6350","21.9950","","8.85%"
"01/01/2022","22.4337","23.3250","24.7550","21.9495","","-3.59%"
"12/01/2021","23.2679","22.8200","23.4650","21.4300","","2.06%"
"11/01/2021","22.7984","23.9150","25.4250","22.6900","","-4.41%"
"10/01/2021","23.8500","22.1665","24.8550","21.9800","","7.43%"
"09/01/2021","22.2000","23.9055","24.9250","21.4112","","-7.05%"
"08/01/2021","23.8850","25.5400","26.0350","22.5250","","-6.19%"
"07/01/2021","25.4600","26.1230","26.7800","24.4850","","-2.47%"
"06/01/2021","26.1044","28.0615","28.5600","25.5300","","-6.94%"
"05/01/2021","28.0513","25.9250","28.7650","25.8000","","8.31%"
"04/01/2021","25.9000","24.4345","26.6950","24.2400","","6.19%"
"03/01/2021","24.3900","26.6500","27.1050","23.7799","","-8.38%"
"02/01/2021","26.6200","28.2950","30.0750","25.8950","","-1.41%"
"01/01/2021","27.0015","26.4000","27.9300","24.1999","","2.44%"
"12/01/2020","26.3584","22.6350","27.4050","22.5807","","16.61%"
"11/01/2020","22.6044","23.6550","26.0062","21.8965","","-4.34%"
"10/01/2020","23.6300","23.2250","25.5750","22.5800","","1.81%"
"09/01/2020","23.2100","28.2650","28.9100","21.6611","","-17.75%"
"08/01/2020","28.2200","24.7595","29.8634","23.4455","","15.80%"
"07/01/2020","24.3700","18.1700","26.2051","17.7598","","34.42%"
"06/01/2020","18.1300","17.8850","18.4387","16.9550","","1.63%"
"05/01/2020","17.8400","14.9480","17.9350","14.7100","","18.77%"
"04/01/2020","15.0200","13.9700","15.8600","13.8050","","7.52%"
"03/01/2020","13.9700","16.6900","17.5891","11.6402","","-16.15%"
"02/01/2020","16.6615","18.0500","18.9635","16.3850","","-7.60%"
"01/01/2020","18.0313","17.8500","18.8550","17.3738","","1.13%"
"12/01/2019","17.8300","16.9950","18.1700","16.5156","","4.76%"
"11/01/2019","17.0200","18.1150","18.2495","16.6378","","-6.10%"
"10/01/2019","18.1250","17.0014","18.3531","16.8782","","6.65%"
"09/01/2019","16.9950","18.4300","19.6713","16.9143","","-7.38%"
"08/01/2019","18.3500","16.2550","18.6750","15.9076","","12.89%"
"07/01/2019","16.2550","15.3350","16.6721","14.8778","","6.19%"
"06/01/2019","15.3075","14.5926","15.5754","14.5641","","5.06%"
"05/01/2019","14.5700","14.9450","15.0025","14.2782","","-2.44%"
"04/01/2019","14.9350","15.1305","15.3490","14.7368","","-1.32%"
"03/01/2019","15.1350","15.6000","15.6616","14.9628","","-3.00%"
"02/01/2019","15.6030","16.0660","16.2420","15.4785","","-2.88%"
"01/01/2019","16.0650","15.4955","16.2125","15.1630","","3.78%"
"12/01/2018","15.4800","14.2750","15.5335","14.2010","","9.24%"
"11/01/2018","14.1710","14.2650","14.9305","13.8755","","-0.35%"
"10/01/2018","14.2210","14.6700","14.9295","14.2280","","-2.60%"
"09/01/2018","14.6000","14.5335","14.7440","13.9235","","0.69%"
"08/01/2018","14.5000","15.5560","15.5765","14.3220","","-6.54%"
"07/01/2018","15.5140","16.1050","16.2420","15.1565","","-3.52%"
"06/01/2018","16.0800","16.4285","17.3380","15.9035","","-1.65%"
"05/01/2018","16.3500","16.3380","16.8475","16.0490","","0.26%"
"04/01/2018","16.3080","16.3650","17.3665","16.1815","","-0.07%"
"03/01/2018","16.3190","16.4090","16.8760","16.1145","","-0.52%"
"02/01/2018","16.4050","17.3355","17.4145","16.1905","","-5.23%"
"01/01/2018","17.3100","16.9755","17.7080","16.7430","","2.15%"
"12/01/2017","16.9460","16.4365","17.1305","15.6110","","3.20%"
"11/01/2017","16.4200","16.7175","17.3915","16.3110","","-1.62%"
"10/01/2017","16.6900","16.6555","17.4920","16.3205","","0.51%"
"09/01/2017","16.6050","17.6020","18.2265","16.6125","","-5.47%"
"08/01/2017","17.5660","16.8330","17.6825","16.1175","","4.62%"
"07/01/2017","16.7900","16.6390","16.8950","14.8785","","1.33%"
"06/01/2017","16.5700","17.3280","17.7700","16.3510","","-4.14%"
"05/01/2017","17.2860","17.2210","17.4960","16.0405","","0.56%"
"04/01/2017","17.1900","18.2530","18.6670","17.1485","","-5.65%"
"03/01/2017","18.2200","18.3095","18.4895","16.8100","","-0.47%"
"02/01/2017","18.3060","17.5700","18.5015","17.2550","","4.43%"
"01/01/2017","17.5300","15.9400","17.6255","15.8925","","10.02%"
"12/01/2016","15.9340","16.5010","17.2750","15.6150","","-3.31%"
"11/01/2016","16.4800","17.8915","19.0180","16.1600","","-7.78%"
"10/01/2016","17.8700","19.1565","19.3320","17.0985","","-6.66%"
"09/01/2016","19.1450","18.6525","20.1500","18.5745","","2.87%"
"08/01/2016","18.6100","20.3380","20.8000","18.3820","","-8.37%"
"07/01/2016","20.3100","18.7825","21.1235","18.6975","","8.67%"
"06/01/2016","18.6900","16.0125","18.8355","15.7950","","16.95%"
"05/01/2016","15.9810","17.8850","18.0230","15.8850","","-10.32%"
"04/01/2016","17.8200","15.4375","17.9690","14.7750","","15.59%"
"03/01/2016","15.4160","14.8950","16.1580","14.7085","","3.60%"
"02/01/2016","14.8800","14.2520","15.9750","14.1935","","4.36%"
"01/01/2016","14.2590","13.8495","14.5865","13.7305","","3.10%"